"CRS_DEP_TIME","DEP_TIME","Freq"
795,615,1
795,765,38
795,780,15860
795,795,53243
795,810,12076
795,825,4456
795,840,2397
795,855,1489
795,870,1044
795,885,747
795,900,512
795,915,405
795,930,282
795,945,203
795,960,160
795,975,135
795,990,109
795,1005,66
795,1020,70
795,1035,48
795,1050,45
795,1065,38
795,1080,24
795,1095,16
795,1110,16
795,1125,18
795,1140,16
795,1155,14
795,1170,4
795,1185,9
795,1200,8
795,1215,6
795,1245,4
795,1260,1
795,1275,2
795,1290,3
795,1305,4
795,1320,1
795,1335,1
795,1365,2
795,1380,2
795,1395,1
810,15,1
810,30,1
810,105,1
810,435,1
810,450,1
810,480,1
810,765,3
810,780,50
810,795,13447
810,810,50959
810,825,11348
810,840,4394
810,855,2321
810,870,1370
810,885,1017
810,900,748
810,915,468
810,930,347
810,945,307
810,960,223
810,975,185
810,990,131
810,1005,98
810,1020,65
810,1035,58
810,1050,38
810,1065,45
810,1080,31
810,1095,27
810,1110,14
810,1125,14
810,1140,9
810,1155,7
810,1170,5
810,1185,9
810,1200,8
810,1215,7
810,1230,3
810,1245,5
810,1260,3
810,1275,4
810,1290,2
810,1305,3
810,1410,2
810,1425,1
825,390,1
825,435,1
825,780,1
825,795,34
825,810,13950
825,825,57549
825,840,13371
825,855,5209
825,870,2719
825,885,1852
825,900,1207
825,915,861
825,930,627
825,945,416
825,960,319
825,975,266
825,990,168
825,1005,151
825,1020,105
825,1035,90
825,1050,79
825,1065,53
825,1080,50
825,1095,38
825,1110,40
825,1125,25
825,1140,16
825,1155,19
825,1170,16
825,1185,10
825,1200,12
825,1215,6
825,1230,5
825,1245,6
825,1260,3
825,1275,1
825,1290,2
825,1320,1
825,1350,2
825,1365,1
825,1425,2
840,405,1
840,435,1
840,480,1
840,810,12
840,825,15226
840,840,53058
840,855,12791
840,870,5201
840,885,2893
840,900,1849
840,915,1248
840,930,836
840,945,620
840,960,470
840,975,317
840,990,253
840,1005,210
840,1020,152
840,1035,120
840,1050,81
840,1065,72
840,1080,73
840,1095,56
840,1110,38
840,1125,31
840,1140,21
840,1155,28
840,1170,16
840,1185,10
840,1200,7
840,1215,15
840,1230,6
840,1245,6
840,1260,3
840,1290,2
840,1305,4
840,1320,2
840,1335,2
840,1365,2
840,1380,2
840,1395,3
840,1440,1
855,405,1
855,435,2
855,480,1
855,810,1
855,825,25
855,840,11507
855,855,44804
855,870,12175
855,885,4783
855,900,2473
855,915,1624
855,930,1043
855,945,709
855,960,516
855,975,398
855,990,332
855,1005,209
855,1020,156
855,1035,138
855,1050,104
855,1065,98
855,1080,67
855,1095,56
855,1110,44
855,1125,30
855,1140,25
855,1155,16
855,1170,17
855,1185,26
855,1200,10
855,1215,9
855,1230,5
855,1245,5
855,1260,10
855,1275,3
855,1290,1
855,1305,3
855,1320,1
855,1335,3
855,1365,2
855,1380,2
855,1410,1
855,1440,1
870,0,2
870,390,1
870,435,2
870,450,1
870,540,1
870,690,1
870,840,24
870,855,12566
870,870,53864
870,885,13171
870,900,5314
870,915,2712
870,930,1713
870,945,1154
870,960,862
870,975,679
870,990,442
870,1005,351
870,1020,270
870,1035,184
870,1050,185
870,1065,132
870,1080,105
870,1095,89
870,1110,64
870,1125,51
870,1140,45
870,1155,30
870,1170,33
870,1185,23
870,1200,16
870,1215,20
870,1230,10
870,1245,12
870,1260,11
870,1275,5
870,1290,8
870,1305,3
870,1320,4
870,1335,4
870,1350,2
870,1365,1
870,1380,2
885,15,1
885,30,1
885,405,1
885,450,1
885,465,1
885,480,1
885,495,1
885,825,1
885,855,16
885,870,13661
885,885,50404
885,900,13046
885,915,5091
885,930,2677
885,945,1634
885,960,1198
885,975,792
885,990,592
885,1005,458
885,1020,349
885,1035,273
885,1050,202
885,1065,147
885,1080,120
885,1095,107
885,1110,75
885,1125,69
885,1140,41
885,1155,32
885,1170,34
885,1185,22
885,1200,30
885,1215,11
885,1230,12
885,1245,17
885,1260,10
885,1275,5
885,1290,4
885,1305,9
885,1320,4
885,1335,5
885,1350,3
885,1365,1
885,1380,1
885,1395,2
885,1425,1
885,1440,1
900,45,1
900,60,1
900,180,1
900,420,1
900,480,1
900,870,30
900,885,16220
900,900,60069
900,915,14359
900,930,5847
900,945,3230
900,960,1998
900,975,1339
900,990,964
900,1005,701
900,1020,516
900,1035,378
900,1050,310
900,1065,243
900,1080,196
900,1095,117
900,1110,109
900,1125,110
900,1140,77
900,1155,59
900,1170,42
900,1185,38
900,1200,26
900,1215,45
900,1230,20
900,1245,7
900,1260,10
900,1275,7
900,1290,10
900,1305,10
900,1320,2
900,1335,2
900,1350,4
900,1365,1
900,1380,3
900,1395,2
900,1410,2
900,1425,1
915,30,1
915,60,1
915,495,1
915,885,38
915,900,14816
915,915,51140
915,930,12996
915,945,5230
915,960,2858
915,975,1843
915,990,1222
915,1005,910
915,1020,654
915,1035,443
915,1050,376
915,1065,265
