"originx","originy","widthx","widthy","totalSpatialLoss","maxSpatialLoss","propSpatialLoss","bintype","distrib"
0,0,12,10,570375.283315969,3828376.12680617,0.148986218810168,"random","unif"
0,0,12,12,463790.633824315,3828376.12680617,0.121145524489317,"standard","unif"
0,0,12,12,628598.162841025,3828376.12680617,0.164194463140547,"random","unif"
0,0,12,14,504624.629212234,3828376.12680617,0.131811664397045,"standard","unif"
0,0,12,14,672690.647578844,3828376.12680617,0.175711744430931,"random","unif"
0,0,12,16,547068.269972104,3828376.12680617,0.142898255514015,"standard","unif"
0,0,12,16,731443.030515608,3828376.12680617,0.191058298946665,"random","unif"
0,0,12,18,579481.902813459,3828376.12680617,0.151364934797275,"standard","unif"
0,0,12,18,773083.040205513,3828376.12680617,0.201934975717879,"random","unif"
0,0,12,20,625587.806260027,3828376.12680617,0.163408135862012,"standard","unif"
0,0,12,20,819749.279097343,3828376.12680617,0.214124540521889,"random","unif"
0,0,14,2,362597.652703147,3828376.12680617,0.0947131735997017,"standard","unif"
0,0,14,2,469032.495473928,3828376.12680617,0.122514737303312,"random","unif"
0,0,14,4,380691.627356225,3828376.12680617,0.0994394528506835,"standard","unif"
0,0,14,4,494937.381506882,3828376.12680617,0.129281284051832,"random","unif"
0,0,14,6,404856.330796109,3828376.12680617,0.105751451107773,"standard","unif"
0,0,14,6,532092.3274988,3828376.12680617,0.138986429199865,"random","unif"
0,0,14,8,434139.987709453,3828376.12680617,0.113400557659321,"standard","unif"
0,0,14,8,579758.06646258,3828376.12680617,0.151437070773462,"random","unif"
0,0,14,10,466695.496656831,3828376.12680617,0.121904296024898,"standard","unif"
0,0,14,10,614288.851996879,3828376.12680617,0.160456765910655,"random","unif"
0,0,14,12,504156.68657094,3828376.12680617,0.131689434337669,"standard","unif"
0,0,14,12,672480.476764966,3828376.12680617,0.175656846268651,"random","unif"
0,0,14,14,543118.545344875,3828376.12680617,0.141866558393251,"standard","unif"
0,0,14,14,711584.074057955,3828376.12680617,0.185870993467822,"random","unif"
0,0,14,16,584064.866608376,3828376.12680617,0.152562038645778,"standard","unif"
0,0,14,16,771452.521266717,3828376.12680617,0.201509072179463,"random","unif"
0,0,14,18,614862.047304808,3828376.12680617,0.160606488740634,"standard","unif"
0,0,14,18,812664.008322716,3828376.12680617,0.212273815687144,"random","unif"
0,0,14,20,659259.688691571,3828376.12680617,0.172203479191988,"standard","unif"
0,0,14,20,856501.172493998,3828376.12680617,0.223724405367802,"random","unif"
0,0,16,2,416509.86486106,3828376.12680617,0.108795439911108,"standard","unif"
0,0,16,2,542547.749401207,3828376.12680617,0.141717462294863,"random","unif"
0,0,16,4,432925.874022121,3828376.12680617,0.113083422235027,"standard","unif"
0,0,16,4,568001.825566763,3828376.12680617,0.148366254190551,"random","unif"
0,0,16,6,454982.64828589,3828376.12680617,0.118844813888613,"standard","unif"
